Margin D,% Home Ownership,% Married Couples,% Poverty,% Bachelor's Degree or Higher,% Less than High School,% Non-Hispanic White,% Black,% Native,% Asian,% Hispanic,% Foreign Born
-16.58,61.0212,67.5561,13.04,15.0033,28.749,35.3128,1.1933,0.6665,1.2725,59.3735,27.0392
45.33,65.9231,66.1453,8.7031,42.3536,10.534,43.825,8.395,0.1994,16.4795,25.5896,25.4037
-15.57,63.0769,56.9694,19.4699,14.7984,19.945,61.9313,3.2697,7.0667,3.1351,19.7454,7.5541
-8.8,75.732,69.5725,8.3828,34.2959,6.5892,77.8239,0.7562,0.5468,4.5009,12.8334,9.2272
7.83,53.3033,56.6998,22.5469,21.1738,24.0396,29.4204,4.4904,0.4724,10.1044,53.0577,21.2224
-27.16,59.3753,67.817,17.506,14.1552,25.1685,51.4655,0.6899,1.3976,2.949,41.7501,18.1906
33.12,56.8372,49.6343,20.1186,30.4154,9.5292,74.3549,0.9828,4.6079,2.9962,11.5654,5.3009
24.37,58.3462,58.8181,24.0885,15.2191,30.2711,10.6408,2.1483,0.611,1.3099,84.212,30.7231
0.15,65.4591,59.0031,9.3099,27.166,11.4208,62.1516,0.7843,10.1685,1.8079,22.3619,9.2952
-10.2,58.2925,60.8941,20.9976,16.3805,25.9048,34.1608,5.1553,0.4848,4.5886,53.3294,19.9263
-12.25,52.3175,61.3063,18.1996,14.6692,26.6456,32.2096,5.8258,0.8507,3.693,54.493,18.8737
6.28,66.3835,54.2118,18.6092,15.5344,14.2248,70.5008,2.0734,3.0002,1.0655,20.5997,8.7125
-51.23,67.5647,64.723,13.4698,12.9472,16.834,65.4293,8.4756,2.7387,1.3856,18.9629,5.6039
44.17,45.8128,56.9537,14.9107,32.5412,20.8666,26.204,7.8386,0.2066,14.43,48.4888,34.0278
-11.56,64.1073,66.0522,19.9357,14.5519,28.0671,34.1324,3.0688,0.9946,1.943,57.7728,20.2389
66.54,63.6571,64.761,7.2277,59.4917,6.701,71.1541,2.1262,0.1685,5.8128,15.9754,18.117
-18.11,68.4286,61.0844,15.1908,24.5599,9.4117,79.9943,1.4524,1.8657,1.2055,11.2687,5.8496
35.8,59.9018,54.7969,17.7991,24.4448,13.4602,65.185,0.7177,3.3683,2.0327,25.1055,12.3876
10.54,52.2385,60.525,21.1966,13.7903,30.8764,27.65,2.8786,0.3431,7.2407,59.6259,26.2748
-44.86,74.8894,58.5618,18.8074,15.1929,15.2077,77.6917,1.5269,4.1765,1.1115,14.4942,7.466
22.26,64.3861,55.1223,12.0719,28.8204,11.4335,65.0454,0.4123,1.6911,2.5367,27.0091,19.7345
41.28,51.0401,62.508,13.0663,24.7058,28.4832,29.9342,2.4773,0.189,5.387,58.6729,29.7836
40.39,64.2152,65.0746,7.7838,35.7258,14.4844,52.4341,1.9911,0.2915,8.0187,34.0517,22.1009
14.69,74.2039,61.8938,11.0445,37.2461,5.6395,85.1568,0.4816,0.4161,1.0509,9.4444,4.8003
9.04,57.3761,65.7006,10.8616,40.5864,14.5288,40.5883,1.6183,0.1931,20.2948,34.0502,30.1166
-6.64,71.8561,69.9826,7.7413,39.7112,5.4649,72.6579,1.65,0.3561,7.4117,13.9993,11.3784
-16.73,72.8521,56.5891,12.1305,23.7033,4.8967,83.1404,0.7556,1.4362,1.1361,8.9496,4.1693
7.94,66.3469,64.5017,13.7034,22.3055,17.9589,35.3192,6.1026,0.4297,6.3177,48.9118,21.5585
25.25,56.4107,57.9137,14.6717,30.8502,12.2757,44.7232,9.491,0.3643,15.4428,23.1752,20.9479
24.41,63.7111,66.4609,8.4277,19.7289,19.5493,34.2901,0.752,0.3081,2.9051,59.7605,19.8754
10.66,59.7888,61.6545,15.9531,20.9892,20.0087,28.5276,7.8798,0.3622,6.9876,53.3205,20.9879
22.75,53.329,61.7567,11.5879,38.805,12.5538,45.5586,4.7069,0.3762,11.6299,33.7,23.3668
72.54,37.5983,49.3199,10.336,58.0611,11.5347,40.5073,5.0039,0.1868,34.071,15.2366,34.2832
13.82,56.6219,63.2664,14.5064,18.7622,20.7171,31.8486,6.7371,0.2285,15.2013,41.4034,23.3087
13.07,61.5658,61.7128,12.4995,35.377,8.7442,68.887,1.7398,0.5351,3.533,22.5166,10.1122
57.69,60.1583,66.3916,6.7109,50.9802,10.4094,39.2382,2.1785,0.1509,28.3139,24.3996,34.8452
31.89,52.0685,58.9643,13.5409,34.1606,19.0551,44.5099,1.8904,0.3599,5.3688,45.3741,23.0405
47.41,56.4037,67.5329,7.5163,52.4002,11.6261,31.5389,2.3481,0.1746,36.2802,25.4727,39.1708
59.95,60.0733,59.9899,13.1258,40.8394,13.6628,57.2696,0.9093,0.1464,4.5641,33.574,17.7857
-33.13,63.989,60.1492,16.6916,22.165,8.9114,79.801,1.1327,2.1829,3.2057,10.03,5.4823
-21.16,75.3601,50.8644,9.6581,17.9339,7.6446,87.5658,0.0658,0.9539,0,10.6579,2.3026
-15.75,65.0156,57.0939,18.8095,23.1772,9.769,76.1043,1.5736,3.1955,1.6012,12.5771,5.4132
30.14,61.488,61.4556,9.5457,26.9135,11.5703,38.0373,13.5012,0.2838,14.9938,26.4512,20.0799
51.48,61.462,59.8875,9.2221,35.5071,11.2103,63.2332,1.4805,0.4688,4.0182,26.726,16.4161
0.78,57.8362,62.5245,15.1148,17.0686,21.0959,41.8578,2.8187,0.4567,5.3911,46.2558,20.3172
-16.43,57.7246,64.8545,15.474,18.2416,21.8328,46.21,1.7522,0.6503,15.5178,30.9524,22.2414
-35.6,65.3727,58.3138,22.0614,15.6625,15.4618,68.3424,0.7385,1.3925,1.513,24.9687,8.3928
-5.32,68.9173,49.8751,19.0323,19.5186,7.6368,82.1024,1,5.4961,1.6535,7.2992,4.6535
-7.82,57.0509,62.2598,23.7868,14.6294,29.1596,28.5163,1.2524,0.6027,3.2364,64.5695,21.8466
-18.78,71.2781,61.077,12.7503,20.5089,9.2703,80.1943,1.7541,1.4118,1.3544,12.2435,4.7886
21.09,63.1545,65.7709,8.9372,33.794,14.9534,45.419,1.6874,0.2381,7.1654,42.6787,21.8098
41.43,51.5707,58.4172,19.0797,41.4238,13.4646,46.6764,2.4288,0.305,13.8738,31.6096,23.2213
-21.63,60.5145,64.6466,15.4787,17.057,17.7087,55.1925,3.3447,0.7779,6.6461,28.2386,12.7567
16.28,66.2109,62.4886,10.8467,24.2679,16.2187,50.023,3.2015,0.4511,3.8668,40.0279,15.3074
-0.69,57.8059,61.8632,23.531,25.0442,13.1407,47.6315,0.4905,1.9122,0.9685,46.7685,9.0892
24.64,63.5175,61.9419,8.0856,42.7519,7.3852,60.2824,10.494,0.3837,5.9378,19.2317,15.1368
-15.87,72.2089,70.9253,8.7681,37.1609,7.665,76.3299,1.3959,1.1318,0.9507,18.3732,5.0026
-69.66,70.9988,68.0023,19.0282,21.3957,13.7653,84.8357,0.9548,1.6007,0,10.952,3.2294
-33.9,59.5925,61.4525,29.5358,11.4027,15.2404,63.3662,3.6461,0.4147,0.2074,32.0546,4.6311
56.57,62.2164,58.5891,11.6988,62.0766,4.9804,77.5709,0.8369,0.2822,4.7081,13.8724,10.6645
27.41,65.2239,69.6411,5.5708,55.7499,3.0622,76.7699,1.1372,0.3403,6.4977,12.3796,8.9194
6.84,77.8156,66.5363,9.7513,33.7821,6.4678,84.9261,1.6874,0.4039,1.4215,10.0373,3.7787
-75.88,71.447,69.642,10.237,19.2078,8.3707,77.7887,0.0987,0,2.1718,17.078,9.0326
12.98,77.2241,57.4997,7.759,48.0748,1.3829,88.6993,1.0848,0.1053,0.9584,6.9721,2.2433
-7.55,79.4219,65.8068,21.7085,20.9799,12.0318,44.562,0.4921,0.8858,0.1599,52.4483,1.7594
27.22,69.0149,54.7931,27.3164,19.2982,19.0476,33.3778,0.3738,0.4005,1.2817,61.8692,9.2123
-47.66,72.4827,50.4373,27.8842,9.0394,13.9068,61.5224,3.528,1.147,0.5388,31.8561,3.4411
-37.48,87.1725,76.0696,12.7034,32.5289,6.4008,85.1549,2.8894,0.9213,0,9.2127,3.1198
-37.14,73.643,65.6659,18.3402,21.6884,9.2899,81.325,0.5791,0.7132,0.8637,15.2102,4.6327
61.36,49.8778,48.5967,12.8617,49.4378,11.9787,54.1725,8.894,0.4515,3.6488,29.8957,14.9747
-51.63,81.5547,54.9812,13.2472,24.1059,6.1516,89.7684,0,1.6694,0,7.0544,1.1847
